,Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,valuation,funding,investors
229,MEGVII,$4B,2017-10-31,Artificial Intelligence,Beijing,China,Asia,2011,$1B,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",4000000000,1000000000,"['Ant Financial Services Group', ' Russia-China Investment Fund', ' Foxconn Technology Company']"
230,Melio,$4B,2021-01-25,Fintech,New York,United States,North America,2018,$504M,"Accel, Aleph, American Express Ventures",4000000000,504000000,"['Accel', ' Aleph', ' American Express Ventures']"
231,Next Insurance,$4B,2019-10-07,Fintech,Palo Alto,United States,North America,2016,$881M,"Zeev Ventures, Ribbit Capital, TLV Partners",4000000000,881000000,"['Zeev Ventures', ' Ribbit Capital', ' TLV Partners']"
232,Olive,$4B,2020-12-01,Internet software & services,Columbus,United States,North America,2012,$856M,"Drive Capital, General Catalyst, Ascension Ventures",4000000000,856000000,"['Drive Capital', ' General Catalyst', ' Ascension Ventures']"
233,Patreon,$4B,2020-09-02,Internet software & services,San Francisco,United States,North America,2013,$413M,"Index Ventures, Thrive Capital, CRV",4000000000,413000000,"['Index Ventures', ' Thrive Capital', ' CRV']"
234,PointClickCare,$4B,2021-01-07,Internet software & services,Mississauga,Canada,North America,2000,$230M,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",4000000000,230000000,"['Dragoneer Investment Group', ' Hellman & Friedman', ' JMI Equity']"
235,Rubrik,$4B,2017-04-28,Data management & analytics,Palo Alto,United States,North America,2014,$553M,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",4000000000,553000000,"['Greylock Partners', ' Lightspeed Venture Partners', ' Khosla Ventures']"
236,Vuori,$4B,2021-10-13,E-commerce & direct-to-consumer,Carlsbad,United States,North America,2015,$445M,"SoftBank Group, Norwest Venture Partners",4000000000,445000000,"['SoftBank Group', ' Norwest Venture Partners']"
237,Webflow,$4B,2021-01-13,Internet software & services,San Francisco,United States,North America,2012,$335M,"Accel, Silversmith Capital Partners, capitalG",4000000000,335000000,"['Accel', ' Silversmith Capital Partners', ' capitalG']"
238,Yuga Labs,$4B,2022-03-22,Fintech,Miami,United States,North America,2021,$450M,"Andreessen Horowitz, Thrive Capital, Sound Ventures",4000000000,450000000,"['Andreessen Horowitz', ' Thrive Capital', ' Sound Ventures']"
239,Zapier,$4B,2021-01-14,Internet software & services,Sunnyvale,United States,North America,2011,$1M,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",4000000000,1000000,"['Sequoia Capital', ' Bessemer Venture Partners', ' Threshold Ventures']"
240,Dadi Cinema,$3B,2016-05-11,Other,Shenzhen,China,Asia,2006,$154M,Alibaba Pictures Group,3000000000,154000000,['Alibaba Pictures Group']
241,Kurly,$3B,2021-07-09,"Supply chain, logistics, & delivery",Seoul,South Korea,Asia,2014,$770M,"Sequoia Capital China, DST Global, DST Global",3000000000,770000000,"['Sequoia Capital China', ' DST Global', ' DST Global']"
242,Moglix,$3B,2021-05-17,E-commerce & direct-to-consumer,Unknown,Singapore,Asia,2015,$471M,"Jungle Ventures, Accel, Venture Highway",3000000000,471000000,"['Jungle Ventures', ' Accel', ' Venture Highway']"
243,OpenAI,$3B,2019-07-22,Artificial Intelligence,San Francisco,United States,North America,2015,$1B,Khosla Ventures,3000000000,1000000000,['Khosla Ventures']
244,Upstox,$3B,2021-11-29,Fintech,Mumbai,India,Asia,2010,$54M,"Tiger Global Management, Kalaari Capital",3000000000,54000000,"['Tiger Global Management', ' Kalaari Capital']"
245,Vista Global,$3B,2017-08-23,Other,Dubai,United Arab Emirates,Asia,2004,$418M,Rhone Capital,3000000000,418000000,['Rhone Capital']
246,Yixia,$3B,2015-11-24,Mobile & telecommunications,Beijing,China,Asia,2011,$775M,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",3000000000,775000000,"['Sequoia Capital China', ' Sina Weibo', ' Kleiner Perkins Caufield & Byers', ' Redpoint Ventures']"
247,Automattic,$3B,2013-05-27,Internet software & services,San Francisco,United States,North America,2005,$859M,"Insight Venture Partners, Lowercase Capital, Polaris Partners",3000000000,859000000,"['Insight Venture Partners', ' Lowercase Capital', ' Polaris Partners']"
248,OakNorth Bank,$3B,2017-10-12,Fintech,London,United Kingdom,Europe,2015,$1B,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",3000000000,1000000000,"['Clermont Group', ' Coltrane Asset Management', ' Toscafund Asset Management']"
249,Worldcoin,$3B,2021-06-29,Fintech,San Francisco,United States,North America,2019,$125M,"Day One Ventures, Coinbase Ventures, Andreessen Horowitz",3000000000,125000000,"['Day One Ventures', ' Coinbase Ventures', ' Andreessen Horowitz']"
250,Hive Box,$3B,2018-01-23,"Supply chain, logistics, & delivery",Shenzhen,China,Asia,2015,$1B,"Eastern Bell Capital, SF Holding Co, STO Express",3000000000,1000000000,"['Eastern Bell Capital', ' SF Holding Co', ' STO Express']"
251,Trax,$3B,2019-07-22,Artificial Intelligence,Unknown,Singapore,Asia,2010,$1B,"Hopu Investment Management, Boyu Capital, DC Thomson Ventures",3000000000,1000000000,"['Hopu Investment Management', ' Boyu Capital', ' DC Thomson Ventures']"
252,MessageBird,$3B,2020-10-08,Mobile & telecommunications,Amsterdam,Netherlands,Europe,2011,$1B,"Y Combinator, Atomico, Accel",3000000000,1000000000,"['Y Combinator', ' Atomico', ' Accel']"
253,Cohesity,$3B,2018-06-11,Data management & analytics,San Jose,United States,North America,2013,$660M,"SoftBank Group, Sequoia Capital, Wing Venture Capital",3000000000,660000000,"['SoftBank Group', ' Sequoia Capital', ' Wing Venture Capital']"
254,Cybereason,$3B,2019-08-06,Cybersecurity,Boston,United States,North America,2012,$714M,"SoftBank Group, CRV, Spark Capital",3000000000,714000000,"['SoftBank Group', ' CRV', ' Spark Capital']"
255,A24 Films,$3B,2022-03-09,Other,New York,United States,North America,2012,$225M,"Stripes Group, Neuberger Berman",3000000000,225000000,"['Stripes Group', ' Neuberger Berman']"
256,Acronis,$3B,2019-09-18,Cybersecurity,Schaffhausen,Switzerland,Europe,2003,$408M,"Goldman Sachs, VebVentures, Insight Partners",3000000000,408000000,"['Goldman Sachs', ' VebVentures', ' Insight Partners']"
257,Aura,$3B,2021-06-09,Cybersecurity,Burlington,United States,North America,2019,$500M,"Warburg Pincus, General Catalyst",3000000000,500000000,"['Warburg Pincus', ' General Catalyst']"
258,BYTON,$3B,2018-04-20,Auto & transportation,Nanjing,China,Asia,2016,$1B,"FAW Group, Tencent Holdings, Tus Holdings",3000000000,1000000000,"['FAW Group', ' Tencent Holdings', ' Tus Holdings']"
259,Cato Networks,$3B,2020-11-17,Cybersecurity,Tel Aviv,Israel,Asia,2015,$532M,"Aspect Ventures, SingTel Innov8, Greylock Partners",3000000000,532000000,"['Aspect Ventures', ' SingTel Innov8', ' Greylock Partners']"
260,Digit Insurance,$3B,2021-01-15,Fintech,Bengaluru,India,Asia,2016,$531M,"Fairfax Financial Holdings, A91 Partners, TVS Capital",3000000000,531000000,"['Fairfax Financial Holdings', ' A91 Partners', ' TVS Capital']"
261,Fetch Rewards,$3B,2021-03-31,E-commerce & direct-to-consumer,Madison,United States,North America,2014,$582M,"Greycroft, Loeb.NYC, DST Global",3000000000,582000000,"['Greycroft', ' Loeb.NYC', ' DST Global']"
262,Games24x7,$3B,2022-03-30,Internet software & services,Mumbai,India,Asia,2006,$75M,"Tiger Global Management, The Raine Group, Malabar Investments",3000000000,75000000,"['Tiger Global Management', ' The Raine Group', ' Malabar Investments']"
263,GoStudent,$3B,2021-06-22,Edtech,Vienna,Austria,Europe,2017,$685M,"DN Capital, Left Lane Capital, Coatue Management",3000000000,685000000,"['DN Capital', ' Left Lane Capital', ' Coatue Management']"
264,Immutable,$3B,2022-03-07,Fintech,Sydney,Australia,Oceania,2018,$280M,"Fabric Ventures, AirTree Ventures, Temasek",3000000000,280000000,"['Fabric Ventures', ' AirTree Ventures', ' Temasek']"
265,Infra.Market,$3B,2021-02-25,E-commerce & direct-to-consumer,Thane,India,Asia,2016,$274M,"Accel, Tiger Global Management, Nexus Venture Partners",3000000000,274000000,"['Accel', ' Tiger Global Management', ' Nexus Venture Partners']"
266,Side,$3B,2021-03-22,Internet software & services,San Francisco,United States,North America,2017,$314M,"Coatue Managemeny, Trinity Ventures, Matrix Partners",3000000000,314000000,"['Coatue Managemeny', ' Trinity Ventures', ' Matrix Partners']"
267,SiFive,$3B,2022-03-16,Hardware,San Mateo,United States,North America,2015,$366M,"Sutter Hill Ventures, Osage University Partners, Spark Capital",3000000000,366000000,"['Sutter Hill Ventures', ' Osage University Partners', ' Spark Capital']"
268,Somatus,$3B,2022-02-23,Health,McLean,United States,North America,2016,$465M,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",3000000000,465000000,"['The Blue Venture Fund', ' Flare Capital Partners', ' Longitude Capital']"
269,Sysdig,$3B,2021-04-28,Cybersecurity,San Francisco,United States,North America,2013,$730M,"Accel, Bain Capital Ventures, Insight Partners",3000000000,730000000,"['Accel', ' Bain Capital Ventures', ' Insight Partners']"
270,Uniphore,$3B,2022-02-16,Artificial Intelligence,Palo Alto,United States,North America,2008,$607M,"Chiratae Ventures, March Capital Partners, National Grid Partners",3000000000,607000000,"['Chiratae Ventures', ' March Capital Partners', ' National Grid Partners']"
271,Varo Bank,$3B,2021-09-09,Fintech,San Francisco,United States,North America,2015,$987M,"Warburg Pincus, The Rise Fund, HarbourVest Partners",3000000000,987000000,"['Warburg Pincus', ' The Rise Fund', ' HarbourVest Partners']"
272,Vercel,$3B,2021-06-23,Internet software & services,San Francisco,United States,North America,2015,$313M,"CRV, Accel, Google Ventures",3000000000,313000000,"['CRV', ' Accel', ' Google Ventures']"
273,Oura,$3B,2022-04-05,Health,Oulu,Finland,Europe,2013,$148M,"Forerunner Ventures, Lifeline Ventures, MSD Capital",3000000000,148000000,"['Forerunner Ventures', ' Lifeline Ventures', ' MSD Capital']"
274,Unacademy,$3B,2020-09-02,Edtech,Bengaluru,India,Asia,2015,$789M,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India",3000000000,789000000,"['Blume Ventures', ' Nexus Venture Partners', ' Sequoia Capital India']"
275,Axonius,$3B,2021-03-01,Cybersecurity,New York,United States,North America,2017,$395M,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",3000000000,395000000,"['Vertex Ventures Israel', ' Bessemer Venture Partners', ' Emerge']"
276,Clari,$3B,2021-03-03,Internet software & services,Sunnyvale,United States,North America,2012,$496M,"Sequoia Capital, Bain Capital Ventures, enaya Capital",3000000000,496000000,"['Sequoia Capital', ' Bain Capital Ventures', ' enaya Capital']"
277,ManoMano,$3B,2021-07-05,E-commerce & direct-to-consumer,Paris,France,Europe,2013,$706M,"General Atlantic, Piton Capital, Partech Partners",3000000000,706000000,"['General Atlantic', ' Piton Capital', ' Partech Partners']"
278,Pendo,$3B,2019-10-17,Internet software & services,Raleigh,United States,North America,2013,$357M,"Contour Venture Partners, Battery Ventures, Core Capital Partners",3000000000,357000000,"['Contour Venture Partners', ' Battery Ventures', ' Core Capital Partners']"
279,Plume,$3B,2021-02-23,Internet software & services,Palo Alto,United States,North America,2015,$722M,"Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures",3000000000,722000000,"['Insight Partners', ' Jackson Square Ventures', ' Liberty Gloval Ventures']"
280,JumpCloud,$3B,2021-09-13,Data management & analytics,Louisville,United States,North America,2012,$407M,"Foundry Group, General Atlantic, BlackRock",3000000000,407000000,"['Foundry Group', ' General Atlantic', ' BlackRock']"
281,Project44,$3B,2021-06-01,"Supply chain, logistics, & delivery",Chicago,United States,North America,2014,$818M,"Emergence Capital Partners, 8VC, Chicago Ventures",3000000000,818000000,"['Emergence Capital Partners', ' 8VC', ' Chicago Ventures']"
282,Sourcegraph,$3B,2021-07-13,Internet software & services,San Francisco,United States,North America,2013,$248M,"Redpoint Ventures, Goldcrest Capital, Insight Partners",3000000000,248000000,"['Redpoint Ventures', ' Goldcrest Capital', ' Insight Partners']"
283,OwnBackup,$3B,2021-01-28,Data management & analytics,Englewood Cliffs,United States,North America,2015,$507M,"Insight Partners, Salesforce Ventures, Vertex Ventures",3000000000,507000000,"['Insight Partners', ' Salesforce Ventures', ' Vertex Ventures']"
284,Starburst,$3B,2021-01-06,Data management & analytics,Boston,United States,North America,1999,$414M,"Index Ventures, Coatue Management, Andreessen Horowitz",3000000000,414000000,"['Index Ventures', ' Coatue Management', ' Andreessen Horowitz']"
285,Youxia Motors,$3B,2018-04-02,Auto & transportation,Shanghai,China,Asia,2014,$1B,"China Environmental Protection Industry, China Fortune Ocean",3000000000,1000000000,"['China Environmental Protection Industry', ' China Fortune Ocean']"
286,Zetwerk,$3B,2021-08-20,Internet software & services,Bengaluru,India,Asia,2018,$543M,"Sequoia Capital India, Kae Capital, Accel",3000000000,543000000,"['Sequoia Capital India', ' Kae Capital', ' Accel']"
287,Cars24,$3B,2020-11-24,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$1B,"Moore Strategic Ventures, DST Global, Sequoia Capital India",3000000000,1000000000,"['Moore Strategic Ventures', ' DST Global', ' Sequoia Capital India']"
288,Ethos,$3B,2021-05-11,Fintech,San Francisco,United States,North America,2016,$407M,"Sequoia Capital, Google Ventures, Accel",3000000000,407000000,"['Sequoia Capital', ' Google Ventures', ' Accel']"
289,Komodo Health,$3B,2020-05-22,Health,San Francisco,United States,North America,2014,$314M,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3000000000,314000000,"['Andreessen Horowitz', ' IA Ventures', ' Felicis Ventures']"
290,Nextiva,$3B,2021-09-14,Internet software & services,Scottsdale,United States,North America,2008,$200M,Goldman Sachs Asset Management,3000000000,200000000,['Goldman Sachs Asset Management']
291,o9 Solutions,$3B,2020-04-28,Artificial Intelligence,Dallas,United States,North America,2009,$417M,KKR,3000000000,417000000,['KKR']
292,Scopely,$3B,2019-10-29,Mobile & telecommunications,Culver City,United States,North America,2011,$999M,"Greycroft, Sands Capital, Revolution Growth",3000000000,999000000,"['Greycroft', ' Sands Capital', ' Revolution Growth']"
293,Sila Nanotechnologies,$3B,2019-04-16,Other,Alameda,United States,North America,2011,$880M,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",3000000000,880000000,"['Bessemer Venture Partners', ' Sutter Hill Ventures', ' Matrix Partners']"
294,Via,$3B,2020-03-30,Auto & transportation,New York,United States,North America,2012,$777M,"83North, RiverPark Ventures, Pitango Venture Capital",3000000000,777000000,"['83North', ' RiverPark Ventures', ' Pitango Venture Capital']"
295,Transmit Security,$3B,2021-06-22,Cybersecurity,Tel Aviv,Israel,Asia,2014,$583M,"General Atlantic, Insight Partners, Vintage Investment Partners",3000000000,583000000,"['General Atlantic', ' Insight Partners', ' Vintage Investment Partners']"
296,BlockDaemon,$3B,2021-09-21,Fintech,Los Angeles,United States,North America,2016,$398M,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",3000000000,398000000,"['BOLDstart Ventures', ' Lerer Hippeau', ' Kenetic Capital']"
297,Convoy,$3B,2018-09-21,"Supply chain, logistics, & delivery",Seattle,United States,North America,2015,$666M,"Greylock Partners, capitalG, Y Combinator",3000000000,666000000,"['Greylock Partners', ' capitalG', ' Y Combinator']"
298,Dream Games,$3B,2021-06-30,Mobile & telecommunications,Istanbul,Turkey,Europe,2019,$468M,"Makers Fund, Index Ventures, Inova Ventures Participacees",3000000000,468000000,"['Makers Fund', ' Index Ventures', ' Inova Ventures Participacees']"
299,Illumio,$3B,2015-04-14,Cybersecurity,Sunnyvale,United States,North America,2013,$558M,"Data Collective, Formation 8, General Catalyst Partners",3000000000,558000000,"['Data Collective', ' Formation 8', ' General Catalyst Partners']"
300,MasterClass,$3B,2021-05-13,Edtech,San Francisco,United States,North America,2015,$461M,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",3000000000,461000000,"['Institutional Venture Partners', ' New Enterprise Associates', ' Javelin Venture Partners']"
301,Graphcore,$3B,2018-12-18,Artificial Intelligence,Bristol,United Kingdom,Europe,2016,$682M,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",3000000000,682000000,"['Dell Technologies Capital', ' Pitango Venture Capital', ' Amadeus Capital Partners']"
302,ApplyBoard,$3B,2020-05-05,Edtech,Kitchener,Canada,North America,2015,$483M,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",3000000000,483000000,"['Artiman Ventures', ' Plug and Play Ventures', ' Anthos Capital']"
303,Blockstream,$3B,2021-08-24,Fintech,Vancouver,Canada,North America,2014,$299M,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",3000000000,299000000,"['AME Cloud Ventures', ' Future Perfect Ventures', ' Blockchain Capital']"
304,Cedar,$3B,2021-03-09,Fintech,New York,United States,North America,2016,$326M,"Thrive Capital, Founders Fund, Cocnord Health Partners",3000000000,326000000,"['Thrive Capital', ' Founders Fund', ' Cocnord Health Partners']"
305,ContentSquare,$3B,2021-05-25,Internet software & services,Paris,France,Europe,2012,$812M,"Highland Europe, Eurazeo, Canaan Partners",3000000000,812000000,"['Highland Europe', ' Eurazeo', ' Canaan Partners']"
306,Eruditus Executive Education,$3B,2021-08-12,Edtech,Mumbai,India,Asia,2010,$591M,"Sequoia Capital India, Softbank, Bertelsmann India Investments",3000000000,591000000,"['Sequoia Capital India', ' Softbank', ' Bertelsmann India Investments']"
307,Innovaccer,$3B,2021-02-19,Health,San Francisco,United States,North America,2014,$379M,"M12, WestBridge Capital, Lightspeed Venture Partners",3000000000,379000000,"['M12', ' WestBridge Capital', ' Lightspeed Venture Partners']"
308,Ironclad,$3B,2022-01-18,Internet software & services,Sacramento,United States,North America,2014,$334M,"Accel, Sequoia Capital, Y Combinator",3000000000,334000000,"['Accel', ' Sequoia Capital', ' Y Combinator']"
309,Skims,$3B,2021-04-09,E-commerce & direct-to-consumer,Los Angeles,United States,North America,2019,$399M,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",3000000000,399000000,"['Thrive Capital', ' Alliance Consumer Growth', ' Imaginary Ventures']"
310,Thumbtack,$3B,2015-09-29,E-commerce & direct-to-consumer,San Francisco,United States,North America,2008,$698M,"Tiger Global, Sequoia Capital, Google Capital",3000000000,698000000,"['Tiger Global', ' Sequoia Capital', ' Google Capital']"
311,Zipline,$3B,2019-05-20,"Supply chain, logistics, & delivery",South San Francisco,United States,North America,2014,$483M,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",3000000000,483000000,"['Sequoia Capital', ' Baillie Gifford & Co.', ' Google Ventures']"
312,BharatPe,$3B,2021-07-30,Fintech,New Delhi,India,Asia,2018,$600M,"Insight Partners, Sequoia Capital India, BEENEXT",3000000000,600000000,"['Insight Partners', ' Sequoia Capital India', ' BEENEXT']"
313,DriveWealth,$3B,2021-08-20,Fintech,Chatham,United States,North America,2012,$551M,"Point72 Ventures, Route 66 Ventures, Accel",3000000000,551000000,"['Point72 Ventures', ' Route 66 Ventures', ' Accel']"
314,Flink Food,$3B,2021-12-01,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2021,$1B,"Mubadala Capital, Bond, Prosus Ventures",3000000000,1000000000,"['Mubadala Capital', ' Bond', ' Prosus Ventures']"
315,PsiQuantum,$3B,2021-07-27,Hardware,Palo Alto,United States,North America,2016,$665M,"Playground Global, M12, BlackRock",3000000000,665000000,"['Playground Global', ' M12', ' BlackRock']"
316,SpotOn,$3B,2021-05-26,Fintech,San Francisco,United States,North America,2017,$628M,"Dragoneer Investment Group, DST Global, Franklin Templeton",3000000000,628000000,"['Dragoneer Investment Group', ' DST Global', ' Franklin Templeton']"
317,Gorillas,$3B,2021-03-25,E-commerce & direct-to-consumer,Berlin,Germany,Europe,2020,$1B,"Coatue Management, Atlantic Food Labs, DST Global",3000000000,1000000000,"['Coatue Management', ' Atlantic Food Labs', ' DST Global']"
318,HighRadius,$3B,2020-01-07,Fintech,Houston,United States,North America,2006,$475M,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",3000000000,475000000,"['Susquehanna Growth Equity', ' Citi Ventures', ' ICONIQ Capital']"
319,Loft,$3B,2020-01-03,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2018,$788M,"Monashees+, Andreessen Horowitz, QED Investors",3000000000,788000000,"['Monashees+', ' Andreessen Horowitz', ' QED Investors']"
320,Nuvemshop,$3B,2021-08-17,E-commerce & direct-to-consumer,Sao Paulo,Brazil,South America,2011,$628M,"Kaszek Ventures, Qualcomm Ventures, Accel",3000000000,628000000,"['Kaszek Ventures', ' Qualcomm Ventures', ' Accel']"
321,Udaan,$3B,2018-09-04,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2016,$1B,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",3000000000,1000000000,"['DST Global', ' Lightspeed Venture Partners', ' Microsoft ScaleUp']"
322,Workrise,$3B,2019-09-30,Internet software & services,Austin,United States,North America,2014,$722M,"Founders Fund, Quantum Energy Partners, Bedrock Capital",3000000000,722000000,"['Founders Fund', ' Quantum Energy Partners', ' Bedrock Capital']"
323,ActiveCampaign,$3B,2021-04-21,Internet software & services,Chicago,United States,North America,2003,$360M,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3000000000,360000000,"['Silversmith Capital Partners', ' Susquehanna Growth Equity', ' Tiger Global Management']"
324,Age of Learning,$3B,2016-05-03,Edtech,Glendale,United States,North America,2007,$500M,Iconiq Capital,3000000000,500000000,['Iconiq Capital']
325,Amber Group,$3B,2021-06-21,Fintech,Unknown,Hong Kong,Asia,2015,$328M,"Tiger Global Management, Tiger Brokers, DCM Ventures",3000000000,328000000,"['Tiger Global Management', ' Tiger Brokers', ' DCM Ventures']"
326,Anchorage Digital,$3B,2021-12-15,Fintech,San Francisco,United States,North America,2017,$487M,"Andreessen Horowitz, Blockchain Capital, Lux Capital",3000000000,487000000,"['Andreessen Horowitz', ' Blockchain Capital', ' Lux Capital']"
327,BlockFi,$3B,2021-03-11,Fintech,Jersey City,United States,North America,2017,$1B,"ConsenSys Ventures, Valar Ventures, PUC",3000000000,1000000000,"['ConsenSys Ventures', ' Valar Ventures', ' PUC']"
328,Calendly,$3B,2021-01-26,Internet software & services,Atlanta,United States,North America,2013,$351M,"ICONIQ Capital, OpenView Venture Partners",3000000000,351000000,"['ICONIQ Capital', ' OpenView Venture Partners']"
329,Carbon Health,$3B,2021-07-21,Health,San Francisco,United States,North America,2015,$523M,"Brookfield Asset Management, Blackstone, Data Collective",3000000000,523000000,"['Brookfield Asset Management', ' Blackstone', ' Data Collective']"
330,Circle,$3B,2018-05-15,Fintech,Boston,United States,North America,2013,$711M,"General Catalyst, Digital Currency Group, Accel",3000000000,711000000,"['General Catalyst', ' Digital Currency Group', ' Accel']"
331,CMR Surgical,$3B,2019-09-17,Health,Cambridge,United Kingdom,Europe,2014,$975M,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",3000000000,975000000,"['Cambridge Innovation Capital', ' LGT Capital Partners', ' Escala Capital']"
332,Contentful,$3B,2021-07-28,Internet software & services,Berlin,Germany,Europe,2013,$333M,"Balderton Capital, General Catalyst, Tiger Global Management",3000000000,333000000,"['Balderton Capital', ' General Catalyst', ' Tiger Global Management']"
333,Cross River Bank,$3B,2022-02-11,Fintech,Fort Lee,United States,North America,2008,$775M,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",3000000000,775000000,"['Battery Ventures', ' Andreessen Horowitz', ' Ribbit Capital']"
334,Delhivery,$3B,2019-02-27,"Supply chain, logistics, & delivery",Gurgaon,India,Asia,2011,$1B,"Times Internet, Nexus Venture Partners, SoftBank Group",3000000000,1000000000,"['Times Internet', ' Nexus Venture Partners', ' SoftBank Group']"
335,FlixBus,$3B,2019-07-18,Auto & transportation,Munich,Germany,Europe,2013,$1B,"Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",3000000000,1000000000,"['Holtzbrinck Ventures', ' Unternehmertum Venture Capital', ' General Atlantic']"
336,Flutterwave,$3B,2021-03-09,Fintech,San Francisco,United States,North America,2016,$474M,"Green Visor Capital, CRE Venture Capital, Greycroft",3000000000,474000000,"['Green Visor Capital', ' CRE Venture Capital', ' Greycroft']"
337,Forter,$3B,2020-11-19,Cybersecurity,New York,United States,North America,2013,$525M,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",3000000000,525000000,"['Sequoia Capital Israel', ' Scale Venture Partners', ' Commerce Ventures']"
338,Grafana Labs,$3B,2021-03-25,Internet software & services,New York,United States,North America,2014,$535M,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",3000000000,535000000,"['Lightspeed Venture Partners', ' Lead Edge Capital', ' Coatue Management']"
339,Groww,$3B,2021-04-07,Fintech,Bengaluru,India,Asia,2017,$393M,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",3000000000,393000000,"['Tiger Global Management', ' Sequoia Capital India', ' Ribbit Capital']"
340,Inxeption,$3B,2022-01-13,Fintech,San Francisco,United States,North America,2017,$187M,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",3000000000,187000000,"['Coatue Management', ' BMO Capital', ' Schonfeld Strategic Advisors']"
341,KK Group,$3B,2019-10-23,E-commerce & direct-to-consumer,Dongguan,China,Asia,2014,$612M,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",3000000000,612000000,"['Matrix Partners China', ' Bright Venture Capita', ' Shenzhen Capital Group']"
342,Lattice,$3B,2021-03-23,Internet software & services,San Francisco,United States,North America,2015,$329M,"Khosla Ventures, Thrive Capital, Y Combinator",3000000000,329000000,"['Khosla Ventures', ' Thrive Capital', ' Y Combinator']"
343,LaunchDarkly,$3B,2021-08-10,Internet software & services,Oakland,United States,North America,2014,$330M,"Uncork Capital, Threshold Ventures, Bloomberg Beta",3000000000,330000000,"['Uncork Capital', ' Threshold Ventures', ' Bloomberg Beta']"
344,Lucid,$3B,2021-06-29,Internet software & services,South Jordan,United States,North America,2010,$170M,"Spectrum Equity, ICONIQ Capital, Grayhawk Capital",3000000000,170000000,"['Spectrum Equity', ' ICONIQ Capital', ' Grayhawk Capital']"
345,Outschool,$3B,2021-04-14,Edtech,San Francisco,United States,North America,2015,$240M,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",3000000000,240000000,"['Uniion Square Ventures', ' Tiger Global Management', ' Lightspeed Venture Capital']"
346,Podium,$3B,2020-04-07,Internet software & services,Lehi,United States,North America,2014,$419M,"Accel, Summit Partners, Google Ventures",3000000000,419000000,"['Accel', ' Summit Partners', ' Google Ventures']"
347,Remote,$3B,2021-07-13,Fintech,San Francisco,United States,North America,2016,$496M,"Index Ventures, Sequoia Capital, General Catalyst",3000000000,496000000,"['Index Ventures', ' Sequoia Capital', ' General Catalyst']"
348,Seismic,$3B,2018-12-18,Internet software & services,San Diego,United States,North America,2010,$427M,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",3000000000,427000000,"['Jackson Square Ventures', ' General Atlantic', ' Lightspeed Venture Partners']"
349,Sky Mavis,$3B,2021-10-04,Internet software & services,Ho Chi Minh City,Vietnam,Asia,2019,$311M,"Fabric Ventures, 500 Global, Standard Crypto",3000000000,311000000,"['Fabric Ventures', ' 500 Global', ' Standard Crypto']"
350,SouChe Holdings,$3B,2017-11-01,E-commerce & direct-to-consumer,Hangzhou,China,Asia,2012,$1B,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",3000000000,1000000000,"['Morningside Ventures', ' Warburg Pincus', ' CreditEase Fintech Investment Fund']"
351,TradingView,$3B,2021-10-14,Fintech,Westerville,United States,North America,2011,$339M,"Tiger Global Management, Insight Partners, Jump Capital",3000000000,339000000,"['Tiger Global Management', ' Insight Partners', ' Jump Capital']"
